certification_no,plan_date,insurer,plan_name,plan_level_raw,geographical_coverage,geo_tier,ward_restriction,ward_tier,provider_restriction,has_deductible,deductible_amount,coinsurance_pct,cost_tier,lifetime_benefit_limit,lifetime_tier,annual_benefit_limit,room_board_per_day,misc_charges_limit,surgeon_complex_limit,psychiatric_limit,no_sublimits,schedule_tier,overall_tier,fields_missing,scrape_status,source_url
S00030-01-000-02,1 April 2021,Allianz Global Corporate & Specialty SE,Allianz Medical Protect,Standard Plan,,tier3,,tier3,No restriction,,,30,tier3,None,tier1,420000,,14000,,30000,,tier2,tier3,geographical_coverage;ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/sp/S00030/S00030-01-000-02-PlanDoc-e.pdf
F00022-01-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Ward (HKD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,1100,15000,,33000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-01-000-03-PlanDoc-e.pdf
F00022-02-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Semi-private (HKD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,2400,22500,,38000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-02-000-03-PlanDoc-e.pdf
F00022-03-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Standard Private (HKD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,4400,30000,,39600,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-03-000-03-PlanDoc-e.pdf
F00022-04-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Ward (USD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,138,1975,,4340,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-04-000-03-PlanDoc-e.pdf
F00022-05-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Semi-private (USD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,300,2813,,4750,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-05-000-03-PlanDoc-e.pdf
F00022-06-000-03,15 July 2026,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Standard Private (USD),Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,,550,3750,,4950,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-06-000-03-PlanDoc-e.pdf
F00033-01-000-02,1 April 2021,Allianz Global Corporate & Specialty SE,Allianz Ultra Medical Protect,Silver Plan,,tier3,,tier3,No restriction,,,20,tier3,None,tier1,500000,,50000,,30000,,tier2,tier3,geographical_coverage;ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00033/F00033-01-000-02-PlanDoc-e.pdf
F00033-01-001-02,1 April 2021,Allianz Global Corporate & Specialty SE,Allianz Ultra Medical Protect,Silver Plan with SMM,,tier3,,tier3,No restriction,,,20,tier3,None,tier1,500000,,50000,,30000,,tier2,tier3,geographical_coverage;ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00033/F00033-01-001-02-PlanDoc-e.pdf
F00033-02-000-02,1 April 2021,Allianz Global Corporate & Specialty SE,Allianz Ultra Medical Protect,Gold Plan,,tier3,,tier3,No restriction,,,10,tier3,None,tier1,1000000,,100000,,30000,,tier2,tier3,geographical_coverage;ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00033/F00033-02-000-02-PlanDoc-e.pdf
F00033-02-001-02,1 April 2021,Allianz Global Corporate & Specialty SE,Allianz Ultra Medical Protect,Gold Plan with SMM,,tier3,,tier3,No restriction,,,10,tier3,None,tier1,1000000,,100000,,30000,,tier2,tier3,geographical_coverage;ward_restriction;has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00033/F00033-02-001-02-PlanDoc-e.pdf
F00057-01-000-02,1 August 2022,BOC Group Life Assurance Company Limited,SmartViva Flexi VHIS,HKD0 Deductible,Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,None,tier1,33000000,,,,,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00057/F00057-01-000-02-PlanDoc-e.pdf
F00057-02-000-02,1 August 2022,BOC Group Life Assurance Company Limited,SmartViva Flexi VHIS,"HKD10,000 Deductible",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,None,tier1,33000000,,,,,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00057/F00057-02-000-02-PlanDoc-e.pdf
F00057-03-000-02,1 August 2022,BOC Group Life Assurance Company Limited,SmartViva Flexi VHIS,"HKD30,000 Deductible",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,None,tier1,33000000,,,,,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00057/F00057-03-000-02-PlanDoc-e.pdf
F00057-04-000-02,1 August 2022,BOC Group Life Assurance Company Limited,SmartViva Flexi VHIS,"HKD70,000 Deductible",Limited (see doc),tier2,Ward,tier2,No restriction,,,,tier3,None,tier1,33000000,,,,,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00057/F00057-04-000-02-PlanDoc-e.pdf
F00052-01-000-01,7 July 2021,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Flexi Plan,Plan 1 - Ward with SMM,Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,500000,,14000,,30000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00052/F00052-01-000-01-PlanDoc-e.pdf
F00052-02-000-01,7 July 2021,China Taiping Life Insurance (Hong Kong) Company Limited,Taiping Life VHIS Flexi Plan,Plan 2 - Semi-Private Room,Worldwide,tier1,No restriction,tier1,No restriction,,,30,tier3,None,tier1,1000000,,24400,,55000,,tier2,tier3,has_deductible,ok,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00052/F00052-02-000-01-PlanDoc-e.pdf
